,PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,DEF_RATING,DREB,DREB_PCT,PCT_DREB,STL,PCT_STL,BLK,PCT_BLK,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,DEF_WS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,DEF_RATING_RANK,DREB_RANK,DREB_PCT_RANK,PCT_DREB_RANK,STL_RANK,PCT_STL_RANK,BLK_RANK,PCT_BLK_RANK,OPP_PTS_OFF_TOV_RANK,OPP_PTS_2ND_CHANCE_RANK,OPP_PTS_FB_RANK,OPP_PTS_PAINT_RANK,DEF_WS_RANK,SEASON_ID
0,1630162,Anthony Edwards,Anthony,1610612750,MIN,20.0,72,39,33,0.542,34.2,110.6,3.9,0.113,0.17,1.5,0.232,0.6,0.159,11.4,9.9,10.4,33.4,0.097,5,7,15,16,1,12,4,11,11,1,6,6,10,18,18,17,18,2,2021-22
1,1629735,Chris Silva,Chris,1610612748,MIA,25.0,1,1,0,1.0,3.5,150.0,1.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.034,18,17,1,1,18,18,14,1,1,17,17,16,16,1,1,1,1,18,2021-22
2,1626156,D'Angelo Russell,D'Angelo,1610612750,MIN,26.0,65,39,26,0.6,31.9,109.8,2.9,0.089,0.136,1.0,0.167,0.3,0.092,10.8,9.4,10.0,32.2,0.099,8,7,9,2,3,9,7,15,15,6,11,8,13,16,16,16,16,1,2021-22
3,202328,Greg Monroe,Greg,1610612750,MIN,32.0,4,1,3,0.25,20.4,110.8,4.5,0.191,0.31,1.0,0.286,1.5,0.429,5.3,8.5,4.3,18.5,0.058,17,17,3,18,8,13,3,4,4,4,3,1,2,9,15,9,11,10,2021-22
4,1630183,Jaden McDaniels,Jaden,1610612750,MIN,21.0,70,40,30,0.571,25.8,109.3,3.1,0.115,0.174,0.7,0.163,0.8,0.24,8.7,7.7,7.0,23.4,0.084,6,5,13,11,4,7,5,10,10,8,14,5,6,15,14,12,12,4,2021-22
5,1627774,Jake Layman,Jake,1610612750,MIN,28.0,34,20,14,0.588,6.8,108.7,0.9,0.123,0.178,0.2,0.167,0.1,0.2,2.3,2.1,1.6,6.1,0.024,15,14,4,7,16,5,15,7,9,14,12,15,8,3,4,5,4,16,2021-22
6,1629020,Jarred Vanderbilt,Jarred,1610612750,MIN,23.0,74,41,33,0.554,25.4,110.5,5.5,0.212,0.319,1.3,0.29,0.6,0.212,8.4,7.5,8.1,25.0,0.073,3,4,15,13,6,11,2,2,2,2,2,7,7,14,12,15,15,7,2021-22
7,1629669,Jaylen Nowell,Jaylen,1610612750,MIN,22.0,62,37,25,0.597,15.7,111.7,1.6,0.1,0.147,0.4,0.168,0.2,0.093,5.2,4.7,4.0,14.3,0.04,9,9,7,4,11,16,11,13,14,13,10,12,12,8,9,8,9,13,2021-22
8,1629162,Jordan McLaughlin,Jordan,1610612750,MIN,26.0,62,36,26,0.581,14.5,109.0,1.2,0.075,0.114,0.9,0.31,0.2,0.089,4.8,4.4,3.5,14.2,0.05,9,10,9,9,12,6,13,17,17,7,1,12,14,7,7,7,8,11,2021-22
9,1629006,Josh Okogie,Josh,1610612750,MIN,23.0,49,23,26,0.469,10.5,101.6,0.8,0.077,0.117,0.5,0.265,0.2,0.182,3.7,2.8,2.7,9.0,0.059,12,12,9,17,13,1,16,16,16,11,4,10,9,6,6,6,6,8,2021-22
