,TeamID,SEASON,LeagueID,PLAYER,NICKNAME,PLAYER_SLUG,NUM,POSITION,HEIGHT,WEIGHT,BIRTH_DATE,AGE,EXP,SCHOOL,PLAYER_ID,HOW_ACQUIRED
4,1610612750,2020,00,Malik Beasley,Malik,malik-beasley,5,G,6-4,187,"NOV 26, 1996",24.0,4,Florida State,1627736,
5,1610612750,2020,00,Jordan McLaughlin,Jordan,jordan-mclaughlin,6,G,5-11,185,"APR 09, 1996",25.0,1,Southern California,1629162,Signed on 07/19/19
6,1610612750,2020,00,Jarred Vanderbilt,Jarred,jarred-vanderbilt,8,F,6-9,214,"APR 03, 1999",22.0,2,Kentucky,1629020,
7,1610612750,2020,00,Ricky Rubio,Ricky,ricky-rubio,9,G,6-3,190,"OCT 21, 1990",30.0,9,FC Barcelona,201937,
8,1610612750,2020,00,Jake Layman,Jake,jake-layman,10,F,6-8,209,"MAR 07, 1994",27.0,4,Maryland,1627774,
9,1610612750,2020,00,Naz Reid,Naz,naz-reid,11,C-F,6-9,264,"AUG 26, 1999",21.0,1,Louisiana State,1629675,Signed on 07/04/19
10,1610612750,2020,00,Ed Davis,Ed,ed-davis,17,C-F,6-9,218,"JUN 05, 1989",32.0,10,North Carolina,202334,
11,1610612750,2020,00,Josh Okogie,Josh,josh-okogie,20,G,6-4,213,"SEP 01, 1998",22.0,2,Georgia Tech,1629006,
12,1610612750,2020,00,Jarrett Culver,Jarrett,jarrett-culver,23,G-F,6-6,195,"FEB 20, 1999",22.0,1,Texas Tech,1629633,
13,1610612750,2020,00,Karl-Anthony Towns,Karl-Anthony,karl-anthony-towns,32,C-F,6-11,248,"NOV 15, 1995",25.0,5,Kentucky,1626157,#1 Pick in 2015 Draft
14,1610612750,2020,00,Juancho Hernangomez,Juancho,juancho-hernangomez,41,F,6-9,214,"SEP 28, 1995",25.0,4,                                   ,1627823,
0,1610612750,2019,00,D'Angelo Russell,D'Angelo,dangelo-russell,0,G,6-4,193,"FEB 23, 1996",24.0,4,Ohio State,1626156,
1,1610612750,2019,00,Evan Turner,Evan,evan-turner,1,G-F,6-6,220,"OCT 27, 1988",31.0,9,Ohio State,202323,
2,1610612750,2019,00,Jarred Vanderbilt,Jarred,jarred-vanderbilt,3,F,6-9,214,"APR 03, 1999",21.0,1,Kentucky,1629020,
3,1610612750,2019,00,Jaylen Nowell,Jaylen,jaylen-nowell,4,G,6-4,201,"JUL 09, 1999",20.0,R,Washington,1629669,
4,1610612750,2019,00,Malik Beasley,Malik,malik-beasley,5,G,6-4,187,"NOV 26, 1996",23.0,3,Florida State,1627736,
