,PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,SEASON_ID
13,1629003,Shake Milton,Shake,1610612750,MIN,27.0,19,15,4,0.789,46.4,5.3,14.6,0.361,1.2,5.6,0.216,4.2,5.3,0.8,0.6,5.0,5.6,4.4,3.0,2.1,0.5,1.4,4.5,3.8,15.9,-1.2,33.8,0,0,32.1,1,1,1,7,12,12,9,14,10,11,10,6,6,8,12,9,9,8,5,2,10,5,7,5,11,14,13,5,1,14,2023-24
14,1628972,Troy Brown Jr.,Troy,1610612750,MIN,24.0,15,12,3,0.8,48.1,4.9,11.7,0.42,2.8,7.5,0.375,4.0,4.7,0.85,2.6,7.2,9.8,2.3,1.6,1.2,0.2,0.5,2.8,3.0,16.6,9.8,34.4,0,0,34.3,9,9,9,4,6,14,14,10,6,9,8,7,8,7,3,5,5,10,10,9,11,11,13,7,10,6,12,5,1,11,2023-24
15,1631111,Wendell Moore Jr.,Wendell,1610612750,MIN,22.0,1,1,0,1.0,38.7,0.0,20.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-20.0,0.0,0,0,0.0,16,16,15,1,16,16,6,16,12,1,12,14,14,14,13,15,15,14,12,12,13,14,15,14,16,15,16,5,1,16,2023-24
0,1630639,A.J. Lawson,A.J.,1610612742,DAL,22.0,1,1,0,1.0,35.3,20.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,40.0,-100.0,64.0,0,0,60.0,20,20,20,1,20,1,6,1,19,20,19,20,20,20,20,1,1,20,20,20,20,20,1,20,1,20,1,9,2,1,2022-23
1,1630162,Anthony Edwards,Anthony,1610612750,MIN,21.0,79,40,39,0.506,47.2,11.8,25.6,0.459,3.5,9.6,0.369,5.3,7.0,0.756,0.8,6.8,7.6,5.8,4.3,2.1,1.0,1.0,3.1,4.6,32.3,1.6,55.0,9,0,55.4,1,2,1,10,5,2,1,13,4,3,7,4,4,13,14,7,9,6,1,3,7,8,18,5,3,8,2,3,2,2,2022-23
2,203085,Austin Rivers,Austin,1610612750,MIN,30.0,52,25,27,0.481,47.2,4.2,9.7,0.435,2.0,5.7,0.35,1.4,1.8,0.769,0.2,3.6,3.9,3.5,1.1,1.3,0.2,0.6,3.7,2.1,11.8,-6.6,25.1,0,0,24.1,9,9,7,15,7,19,19,15,13,12,12,17,16,12,19,17,18,10,18,12,18,13,13,16,19,17,20,9,2,20,2022-23
3,1627854,Bryn Forbes,Bryn,1610612750,MIN,29.0,25,9,16,0.36,46.2,5.2,14.3,0.361,2.4,7.9,0.304,2.6,2.6,1.0,0.7,1.9,2.6,2.9,2.1,1.2,0.3,0.9,3.8,2.2,15.3,-8.3,25.4,0,0,26.4,15,18,12,20,10,18,13,20,11,9,16,11,15,1,16,20,20,14,14,14,14,12,12,15,17,18,19,9,2,19,2022-23
4,1626156,D'Angelo Russell,D'Angelo,1610612747,LAL,27.0,54,27,27,0.5,47.3,9.0,19.3,0.465,3.9,10.1,0.391,3.8,4.4,0.856,0.7,3.6,4.4,8.9,3.9,1.6,0.6,0.5,3.1,3.8,25.7,-1.5,46.8,7,0,47.2,7,8,7,11,4,7,7,11,2,2,4,7,8,6,15,16,16,2,3,7,12,18,17,8,7,14,8,5,2,7,2022-23
5,1630183,Jaden McDaniels,Jaden,1610612750,MIN,22.0,79,41,38,0.519,47.6,7.3,14.1,0.517,2.1,5.3,0.398,2.1,2.8,0.736,1.8,4.2,6.0,2.9,2.2,1.5,1.5,0.6,5.4,2.5,18.8,1.4,37.0,0,0,35.7,1,1,2,7,3,10,14,6,12,13,3,14,13,14,7,13,11,15,12,11,5,14,6,13,13,9,13,9,2,13,2022-23
6,1629669,Jaylen Nowell,Jaylen,1610612750,MIN,23.0,65,34,31,0.523,45.7,10.2,22.8,0.448,2.4,8.5,0.289,2.8,3.6,0.778,1.3,4.9,6.2,4.8,2.4,1.5,0.2,1.4,3.7,3.0,25.7,-0.3,43.2,0,0,42.7,6,4,6,5,13,6,2,14,10,6,17,10,10,11,9,10,10,8,10,10,19,3,14,11,6,12,10,9,2,9,2022-23
7,1629162,Jordan McLaughlin,Jordan,1610612750,MIN,27.0,43,22,21,0.512,45.1,4.1,9.6,0.421,1.6,5.2,0.308,1.0,1.2,0.833,1.0,3.1,4.1,9.8,2.2,2.1,0.3,0.5,1.9,1.4,10.7,5.6,35.4,0,0,31.1,10,10,10,9,14,20,20,17,14,14,15,19,19,8,12,18,17,1,13,2,15,16,20,18,20,2,15,9,2,17,2022-23
8,1631169,Josh Minott,Josh,1610612750,MIN,20.0,15,7,8,0.467,43.5,8.1,16.3,0.5,0.9,2.7,0.333,3.6,3.6,1.0,2.3,9.0,11.3,2.3,1.4,1.8,2.7,2.7,4.5,2.3,20.8,10.9,50.0,1,0,44.3,19,19,19,18,19,8,8,8,17,17,14,8,9,1,6,5,6,17,16,6,1,1,9,14,11,1,7,7,2,8,2022-23
9,1626157,Karl-Anthony Towns,Karl-Anthony,1610612750,MIN,27.0,29,15,14,0.517,46.7,10.3,20.9,0.495,2.9,8.0,0.366,5.8,6.6,0.874,2.3,9.2,11.5,6.8,4.2,1.0,0.8,0.9,5.4,6.5,29.4,1.9,54.7,9,0,54.3,12,13,13,8,8,5,5,9,6,7,8,3,5,3,5,4,5,5,2,17,10,9,5,2,4,7,4,3,2,3,2022-23
10,203937,Kyle Anderson,Kyle,1610612750,MIN,29.0,69,36,33,0.522,47.2,6.1,11.9,0.509,1.0,2.5,0.41,2.4,3.3,0.735,1.6,7.3,8.9,8.1,2.5,1.9,1.5,0.5,3.5,3.1,15.6,2.2,46.1,10,3,40.4,4,3,5,6,6,16,18,7,16,18,2,13,11,15,8,6,7,3,9,4,4,17,15,10,16,5,9,2,1,11,2022-23
