,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,AGE,PLAYER_HEIGHT,PLAYER_HEIGHT_INCHES,PLAYER_WEIGHT,COLLEGE,COUNTRY,DRAFT_YEAR,DRAFT_ROUND,DRAFT_NUMBER,GP,PTS,REB,AST,NET_RATING,OREB_PCT,DREB_PCT,USG_PCT,TS_PCT,AST_PCT,SEASON_ID
13,1630593,McKinley Wright IV,1610612750,MIN,23.0,5-11,71,192,Colorado,USA,Undrafted,Undrafted,Undrafted,5,1.0,0.0,0.6,-25.8,0.0,0.0,0.082,0.833,0.231,2021-22
14,1630233,Nathan Knight,1610612750,MIN,24.0,6-10,82,253,William & Mary,USA,Undrafted,Undrafted,Undrafted,37,3.7,2.3,0.6,3.6,0.114,0.174,0.203,0.603,0.126,2021-22
15,1629675,Naz Reid,1610612750,MIN,22.0,6-9,81,264,Louisiana State,USA,Undrafted,Undrafted,Undrafted,77,8.3,3.9,0.9,-2.4,0.074,0.161,0.209,0.588,0.091,2021-22
16,201976,Patrick Beverley,1610612750,MIN,33.0,6-1,73,180,Arkansas,USA,2009,2,42,58,9.2,4.1,4.6,3.7,0.038,0.119,0.158,0.539,0.249,2021-22
17,1627752,Taurean Prince,1610612750,MIN,28.0,6-6,78,218,Baylor,USA,2016,1,12,69,7.3,2.5,1.0,0.7,0.021,0.12,0.166,0.589,0.08,2021-22
0,1630162,Anthony Edwards,1610612750,MIN,19.0,6-4,76,225,Georgia,USA,2020,1,1,72,19.3,4.7,2.9,-5.0,0.023,0.121,0.264,0.523,0.142,2020-21
1,1630204,Ashton Hagans,1610612750,MIN,21.0,6-3,75,190,Kentucky,USA,Undrafted,Undrafted,Undrafted,2,0.0,0.0,0.0,-21.8,0.0,0.0,0.083,0.0,0.0,2020-21
2,1626156,D'Angelo Russell,1610612750,MIN,25.0,6-4,76,193,Ohio State,USA,2015,1,2,42,19.0,2.6,5.8,-7.0,0.012,0.077,0.283,0.555,0.323,2020-21
3,202334,Ed Davis,1610612750,MIN,32.0,6-9,81,218,North Carolina,USA,2010,1,13,23,2.1,5.0,0.9,-7.6,0.127,0.235,0.078,0.487,0.1,2020-21
4,1630183,Jaden McDaniels,1610612750,MIN,20.0,6-9,81,185,Washington,USA,2020,1,28,63,6.8,3.7,1.1,-3.4,0.032,0.118,0.118,0.552,0.064,2020-21
5,1627774,Jake Layman,1610612750,MIN,27.0,6-8,80,209,Maryland,USA,2016,2,47,45,5.1,1.5,0.6,-5.8,0.019,0.083,0.147,0.577,0.067,2020-21
